"N° ";"Désignation";"Durée";"Pr 1";"Pr 2";"Pr 3";"Pr 4";"Pr 5";"Su 1";"Su 2";"Su 3";"Su 4";"Su 5";
"1";"Revêtement pierre agrafée - relevé - fabrication";"30";"4FD0";"";"";"";"";"18FD0";"9999FD0";"";"";"";
"2";"Menuiserie ext alu - appro - fabrication ";"50";"4DD35";"";"";"";"";"99FD0";"9999FD0";"";"";"";
"3";"Faux plafond R+1";"5";"33FD0";"";"";"";"";"24FD0";"34FD0";"43FD0";"56FD0";"9999FD0";
"4";"Ordre de service";"1";"";"";"";"";"";"5FD0";"2DD75";"95DD90";"97DD199";"1FD0";
"5";"Préparation de chantier";"35";"4FD0";"";"";"";"";"7FD0";"166FD0";"9999FD0";"";"";
"6";"Reprise de couverture sur cour";"12";"";"";"";"";"";"88FD0";"87FD0";"9999FD0";"";"";
"7";"Travaux de désiamiantage";"5";"5FD0";"";"";"";"";"9FD0";"15FD0";"9999FD0";"";"";
"8";"Faux plafond R+1";"2";"34FD0";"";"";"";"";"9999FD0";"";"";"";"";
"9";"Fondations spéciales";"15";"7FD0";"15FD0";"4DD40";"";"";"10FD0";"9999FD0";"";"";"";
"10";"Décapage fond de forme";"2";"9FD0";"166FD0";"";"";"";"11FD0";"9999FD0";"";"";"";
"11";"Fondation - dalle portée - réseau sous dallage";"6";"10FD0";"";"";"";"";"12FD0";"9999FD0";"";"";"";
"12";"Elévation RDJ";"6";"11FD0";"";"";"";"";"13FD0";"9999FD0";"";"";"";
"13";"Plancher haut RDJ";"4";"12FD0";"";"";"";"";"14FD0";"9999FD0";"";"";"";
"14";"Elévation RDC";"6";"13FD0";"";"";"";"";"27FD0";"9999FD0";"";"";"";
"15";"Travaux de démolition";"5";"7FD0";"";"";"";"";"9FD0";"9999FD0";"";"";"";
"16";"Elévation R+1";"6";"27FD0";"";"";"";"";"23FD0";"72FD0";"9999FD0";"";"";
"17";"Revêtement pierre agrafée - pignon";"5";"18FD0";"";"";"";"";"26FD0";"22FD0";"9999FD0";"";"";
"18";"Revêtement pierre agrafée - façade sur rue";"10";"20FD0";"1FD0";"";"";"";"17FD0";"9999FD0";"";"";"";
"19";"Chauffage - Nappe plafond - colonne montante RDJ";"3";"";"";"";"";"";"53FD0";"9999FD0";"";"";"";
"20";"Etanchéité ";"17";"21FD0";"";"";"";"";"18FD0";"58FD0";"9999FD0";"";"";
"21";"Serrurerie - Bacs collaborants";"3";"23FD0";"";"";"";"";"20FD0";"9999FD0";"";"";"";
"22";"Serrurerie - Portes métallique - rampe escalier";"2";"17FD0";"";"";"";"";"9999FD0";"";"";"";"";
"23";"Charpente ";"8";"16FD0";"";"";"";"";"21FD0";"9999FD0";"";"";"";
"24";"Elec - Câblage R+1";"5";"3FD0";"33FD0";"";"";"";"42FD0";"9999FD0";"";"";"";
"25";"VMC  RDJ";"2";"";"";"";"";"";"43FD0";"9999FD0";"";"";"";
"26";"t pierre agrafée - façade sur cour";"5";"17FD0";"";"";"";"";"9999FD0";"";"";"";"";
"27";"Plancher haut RDC";"4";"14FD0";"";"";"";"";"16FD0";"9999FD0";"";"";"";
"28";"Pose meuiserie RDJ";"6";"";"";"";"";"";"9999FD0";"";"";"";"";
"29";"Pose meuiserie RDC";"2";"";"";"";"";"";"9999FD0";"";"";"";"";
"30";"Pose menuiserie R+1";"4";"33FD0";"";"";"";"";"9999FD0";"";"";"";"";
"31";"Cloison doublage RDJ";"8";"";"";"";"";"";"35FD0";"37FD0";"45FD0";"181FD0";"59FD0";
