"N° ";"Désignation";"Durée";"Début au plus tôt";"Fin au plus tôt";"Prédécesseurs";"Successeurs";"Crit1";"Crit2";"Crit3";"Code tâche";"Coût +";"Coût -";
"1";"Ordre de Service";"1";"01/09/09";"01/09/09";"";"6FD0,7FD0,";"P----,PHASES";"I-01---,T C E ";"T----,TRIS";"";"0.00";"0.00";
"2";"Période accords plans BA ";"30";"21/09/09";"30/10/09";"6FD-20,";"8FD0,";"P----,PHASES";"I-01---,T C E ";"T----,TRIS";"";"0.00";"0.00";
"3";"Possibilité de début des lots techniques";"1";"18/03/10";"18/03/10";"32FD0,";"";"P---,PHASES";"I-01---,T C E ";"T---,TRIS";"";"";"";
"4";"Possibilité de début des lots secondaires";"1";"19/08/10";"19/08/10";"52FD0,";"";"P---,PHASES";"I-01---,T C E ";"T---,TRIS";"";"";"";
"5";"Derniers batiments hors vent ";"1";"08/11/10";"08/11/10";"56FD0,";"";"P---,PHASES";"I-01---,T C E ";"T---,TRIS";"";"";"";
"6";"Période établissement des plans BA ";"33";"02/09/09";"16/10/09";"1FD0,";"2FD-20,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"7";"Installation de chantier";"25";"02/09/09";"06/10/09";"1FD0,";"9FD0,";"P---,PHASES";"I-02---,Gros-oeuvre";"T---,TRIS";"";"";"";
"8";"Implantation/traçage collège";"1";"02/11/09";"02/11/09";"2FD0,";"9FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"9";"Terrassements complément. collège";"9";"03/11/09";"13/11/09";"8FD0,7FD0,";"10FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"10";"Fouilles rigoles/isolées collège";"18";"16/11/09";"09/12/09";"9FD0,";"11FF1,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"11";"Béton de propreté collège";"16";"19/11/09";"10/12/09";"10FF1,";"12FF3,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"12";"Béton semelles collège";"16";"24/11/09";"15/12/09";"11FF3,";"13FF11,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"13";"Llongrines BA collège";"25";"26/11/09";"30/12/09";"12FF11,";"14FF8,20FD-13,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"14";"Elévation BA sciences rez collège";"30";"01/12/09";"11/01/10";"13FF8,";"15FD-17,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"15";"Poutres BA sciences rez collège";"18";"18/12/09";"12/01/10";"14FD-17,";"16FD-13,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"16";"Dalle haute rez sciences collège";"15";"25/12/09";"14/01/10";"15FD-13,";"17FD-5,24FD15,28FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"17";"Elévation BA sciences étage collège";"10";"08/01/10";"21/01/10";"16FD-5,";"19FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"18";"Elévation BA ens géné étage collège";"29";"02/03/10";"09/04/10";"22FD-15,";"23FD-4,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"19";"Dalle BA escalier sciences collège";"4";"22/01/10";"27/01/10";"17FD0,";"";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"20";"Elévation BA ens géné rez collège";"61";"14/12/09";"08/03/10";"13FD-13,";"21FD-20,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"21";"Poutres BA ens géné rez collège";"25";"09/02/10";"15/03/10";"20FD-20,";"22FD-20,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"22";"Dalle haute rez ens géné collège";"25";"16/02/10";"22/03/10";"21FD-20,";"18FD-15,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"23";"Dalle BA couloirs ascenseur collège";"9";"06/04/10";"16/04/10";"18FD-4,";"26FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"24";"Prépara. dallage sciences collège";"4";"05/02/10";"10/02/10";"16FD15,";"25FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"25";"Coulage dallage sciences collège";"4";"11/02/10";"16/02/10";"24FD0,";"";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"26";"Prépara. dallage ens géné collège";"4";"19/04/10";"22/04/10";"23FD0,";"27FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"27";"Coulage dallage sciences collège";"4";"23/04/10";"28/04/10";"26FD0,";"";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"28";"Parois bardées terre cuite sciences";"16";"15/01/10";"05/02/10";"16FD0,";"29FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"29";"Parois bardée bois sciences";"5";"08/02/10";"12/02/10";"28FD0,";"30FD0,33FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"30";"Poutres en T sciences";"5";"15/02/10";"19/02/10";"29FD0,";"31FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"31";"Toiture courante 3 plis sciences";"10";"22/02/10";"05/03/10";"30FD0,";"32FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"32";"Toiture coursives/rives sciences";"8";"08/03/10";"17/03/10";"31FD0,";"3FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"33";"Ossature + poteaux bois centre";"14";"15/02/10";"04/03/10";"29FD0,";"34FD-5,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"34";"Parois bardée bois centre";"10";"26/02/10";"11/03/10";"33FD-5,";"35FD0,38FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"35";"Poutre en T centre";"12";"12/03/10";"29/03/10";"34FD0,";"36FD-5,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"36";"Toiture courante 3 plis centre";"10";"23/03/10";"05/04/10";"35FD-5,";"37FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"37";"Toiture coursives/rives centre";"8";"06/04/10";"15/04/10";"36FD0,";"";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"38";"Parois bardées terre cuite ens géné";"15";"12/03/10";"01/04/10";"34FD0,";"39FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"39";"Parois bardée bois ens géné";"15";"02/04/10";"22/04/10";"38FD0,";"40FD-5,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"40";"Poutre en T ens géné";"15";"16/04/10";"06/05/10";"39FD-5,";"41FD-5,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"41";"Toiture courante 3 plis ens géné";"15";"30/04/10";"20/05/10";"40FD-5,";"42FD-5,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"42";"Toiture coursives/rives ens géné";"14";"14/05/10";"02/06/10";"41FD-5,";"46FD-3,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"43";"Fouilles rigoles/isol. 1/2 pension";"15";"01/06/10";"21/06/10";"46FD0,";"44DD3,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"44";"Béton de propreté 1/2 pension";"15";"04/06/10";"24/06/10";"43DD3,";"45DD3,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"45";"Béton semelles 1/2 pension";"15";"09/06/10";"29/06/10";"44DD3,";"47DD3,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"46";"Implantation/traçage 1/2 pension";"1";"31/05/10";"31/05/10";"42FD-3,";"43FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"47";"Longrines BA 1/2 pension";"20";"14/06/10";"09/07/10";"45DD3,";"48DD3,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"48";"Elévation BA rez 1/2 pension";"20";"17/06/10";"14/07/10";"47DD3,";"49FD-5,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"49";"Poutres BA rez 1/2 pension";"10";"08/07/10";"21/07/10";"48FD-5,";"51FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"50";"Elévation BA étage 1/2 pension";"10";"29/07/10";"11/08/10";"51FD0,";"52FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"51";"Dalle haute rez 1/2 pension";"5";"22/07/10";"28/07/10";"49FD0,";"50FD0,57FD15,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"52";"Dalle BA étage 1/2 pension";"5";"12/08/10";"18/08/10";"50FD0,";"53FD0,4FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"53";"Parois bardée+ossa bois 1/2 pension";"15";"19/08/10";"08/09/10";"52FD0,";"54FD-5,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"54";"Poutres Kerto+BLC 1/2 pension";"12";"02/09/10";"17/09/10";"53FD-5,";"55FD-5,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"55";"Ossat toit+suppor étanc 1/2 pension";"30";"13/09/10";"22/10/10";"54FD-5,";"56FD-10,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"56";"Façades/rives/zinguerie 1/2 pension";"20";"11/10/10";"05/11/10";"55FD-10,";"5FD0,";"P----,PHASES";"I-03---,Structure bois-Façades bois";"T----,TRIS";"";"0.00";"0.00";
"57";"Prépara. dallage 1/2 pension";"5";"19/08/10";"25/08/10";"51FD15,";"58FD0,";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
"58";"Coulage dallage 1/2 pension";"5";"26/08/10";"01/09/10";"57FD0,";"";"P----,PHASES";"I-02---,Gros-oeuvre";"T----,TRIS";"";"0.00";"0.00";
