N° ;Désignation;Durée;Crit 1;Désign Crit 1;Crit 2;Désign Crit 2;Crit 3;Désign Crit 3
1;_ C. Plancher haut du VS;10;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-05---;Collectif - 6 lgmts
2;_ 1/2. Elévation pignon garage;5;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-01---;Maisons 1/2
3;_ 1/2. Charpente couverture;8;P-01---;PHASE Travaux ;I-15---;Charp. couv.;T-01---;Maisons 1/2
4;_ 7/8. Plancher haut du RdC;5;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-04---;Maisons 7/8
5;_ 3/4. Elévation pignons ;5;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-02---;Maisons 3/4
6;_ 5/6. Elévations 1° et pignons;10;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-03---;Maisons 5/6
7;_ 7/8. Elévations 1° et pignons;10;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-04---;Maisons 7/8
8;_ 3/4. Charpente couverture;8;P-01---;PHASE Travaux ;I-15---;Charp. couv.;T-02---;Maisons 3/4
9;_ 5/6. Charpente couverture;8;P-01---;PHASE Travaux ;I-15---;Charp. couv.;T-03---;Maisons 5/6
10;_ 7/8. Charpente couverture;8;P-01---;PHASE Travaux ;I-15---;Charp. couv.;T-04---;Maisons 7/8
11;_ 1/2. Appuis et dressages tableaux;5;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-01---;Maisons 1/2
12;_ 3/4. Appuis et dressages tableaux;5;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-02---;Maisons 3/4
13;_ 5/6. Appuis et dressages tableaux;5;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-03---;Maisons 5/6
14;_ 7/8. Appuis et dressages tableaux;5;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-04---;Maisons 7/8
15;_ 1/2. Pose menuiseries Ext;3;P-01---;PHASE Travaux ;I-06---;Menuis. PVC;T-01---;Maisons 1/2
16;_ 3/4. Pose menuiseries Ext;2;P-01---;PHASE Travaux ;I-06---;Menuis. PVC;T-02---;Maisons 3/4
17;_ 5/6. Pose menuiseries Ext;2;P-01---;PHASE Travaux ;I-06---;Menuis. PVC;T-03---;Maisons 5/6
18;_ 7/8. Pose menuiseries Ext;2;P-01---;PHASE Travaux ;I-06---;Menuis. PVC;T-04---;Maisons 7/8
19;_ Ens. Pose menuis. métal Ext portes et portails;8;P-01---;PHASE Travaux ;I-07---;Serrurerie;T-08---;Ens. maisons
20;_ C. Plancher haut du RdC;10;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-05---;Collectif - 6 lgmts
21;_ C. Plancher haut du 1°;10;P-01---;PHASE Travaux ;I-01---;Maconnerie;T-05---;Collectif - 6 lgmts
