"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"1";"Revêtement pierre agrafée - relevé - fabrication";"30";"P----";"PHASES";"I-09---";"LOT 7 REVETEMENT PIERRE ";"";"";
"2";"Menuiserie ext alu - appro - fabrication ";"50";"P----";"PHASES";"I-10---";"LOT 8 MENUISERIE ALU";"";"";
"3";"Faux plafond R+1";"5";"P----";"PHASES";"I-12---";"LOT 10 CLOISONS";"";"";
"4";"Ordre de service";"1";"P----";"PHASES";"";"";"";"";
"5";"Préparation de chantier";"35";"P----";"PHASES";"";"";"";"";
"6";"Reprise de couverture sur cour";"12";"P----";"PHASES";"I-06---";"LOT 4 COUVERTURE";"";"";
"7";"Travaux de désiamiantage";"5";"P----";"PHASES";"I-04---";"LOT 2 TER DEMOLITION";"";"";
"8";"Faux plafond R+1";"2";"P----";"PHASES";"I-03---";"LOT 2 BIS FONDATION SPECIALES";"";"";
"9";"Fondations spéciales";"15";"P----";"PHASES";"I-01---";"LOT VRD";"";"";
"10";"Décapage fond de forme";"2";"P----";"PHASES";"I-02---";"LOT 1 2 GROS OEUVRE";"";"";
"11";"Fondation - dalle portée - réseau sous dallage";"6";"P----";"PHASES";"I-02---";"LOT 1 2 GROS OEUVRE";"";"";
"12";"Elévation RDJ";"6";"P----";"PHASES";"I-02---";"LOT 1 2 GROS OEUVRE";"";"";
"13";"Plancher haut RDJ";"4";"P----";"PHASES";"I-02---";"LOT 1 2 GROS OEUVRE";"";"";
"14";"Elévation RDC";"6";"P----";"PHASES";"I-02---";"LOT 1 2 GROS OEUVRE";"";"";
"15";"Travaux de démolition";"5";"P----";"PHASES";"I-09---";"LOT 7 REVETEMENT PIERRE ";"";"";
"16";"Elévation R+1";"6";"P----";"PHASES";"I-09---";"LOT 7 REVETEMENT PIERRE ";"";"";
"17";"Revêtement pierre agrafée - pignon";"5";"P----";"PHASES";"I-19---";"LOT 17 CHAUFFAGE";"";"";
"18";"Revêtement pierre agrafée - façade sur rue";"10";"P----";"PHASES";"I-08---";"LOT 6 ETANCHEITE";"";"";
"19";"Chauffage - Nappe plafond - colonne montante RDJ";"3";"P----";"PHASES";"I-11---";"LOT 9 SERRURERIE";"";"";
"20";"Etanchéité ";"17";"P----";"PHASES";"I-11---";"LOT 9 SERRURERIE";"";"";
"21";"Serrurerie - Bacs collaborants";"3";"P----";"PHASES";"I-05---";"LOT 3 CHARPENTE";"";"";
"22";"Serrurerie - Portes métallique - rampe escalier";"2";"P----";"PHASES";"I-17---";"LOT 15 ELECTRICITE VMC";"";"";
"23";"Charpente ";"8";"P----";"PHASES";"I-17---";"LOT 15 ELECTRICITE VMC";"";"";
"24";"Elec - Câblage R+1";"5";"P----";"PHASES";"I-09---";"LOT 7 REVETEMENT PIERRE ";"";"";
"25";"VMC  RDJ";"2";"P----";"PHASES";"I-02---";"LOT 1 2 GROS OEUVRE";"";"";
"26";"t pierre agrafée - façade sur cour";"5";"P----";"PHASES";"I-10---";"LOT 8 MENUISERIE ALU";"";"";
"27";"Plancher haut RDC";"4";"P----";"PHASES";"I-10---";"LOT 8 MENUISERIE ALU";"";"";
"28";"Pose meuiserie RDJ";"6";"P----";"PHASES";"I-10---";"LOT 8 MENUISERIE ALU";"";"";
"29";"Pose meuiserie RDC";"2";"P----";"PHASES";"I-12---";"LOT 10 CLOISONS";"";"";
"30";"Pose menuiserie R+1";"4";"P----";"PHASES";"I-12---";"LOT 10 CLOISONS";"";"";
"31";"Cloison doublage RDJ";"8";"P----";"PHASES";"I-12---";"LOT 10 CLOISONS";"";"";
"32";"Cloison doublage RDC";"5";"P----";"PHASES";"I-18---";"LOT 16 PLOMBERIE";"";"";
"33";"Cloison doublage R+1";"7";"P----";"PHASES";"I-17---";"LOT 15 ELECTRICITE VMC";"";"";
"34";"Réseau - canalisation R+1";"1";"P----";"PHASES";"I-17---";"LOT 15 ELECTRICITE VMC";"";"";
"35";"Electricité - câblage RDJ";"5";"P----";"PHASES";"I-12---";"LOT 10 CLOISONS";"";"";
"36";"Câblage RDC";"5";"P----";"PHASES";"I-12---";"LOT 10 CLOISONS";"";"";
"37";" Faux plafond RDJ";"5";"P----";"PHASES";"I-18---";"LOT 16 PLOMBERIE";"";"";
"38";" Faux plafond RDC";"5";"P----";"PHASES";"I-17---";"LOT 15 ELECTRICITE VMC";"";"";
"39";"Plomberie - Réseau - canalisation -appareillage  RDC";"5";"P----";"PHASES";"I-18---";"LOT 16 PLOMBERIE";"";"";
"40";"Elec - Appareillage RDC";"5";"P----";"PHASES";"I-17---";"LOT 15 ELECTRICITE VMC";"";"";
