"N° ";"Désignation";"Durée";"Pr 1";"Pr 2";"Pr 3";"Pr 4";"Pr 5";"Su 1";"Su 2";"Su 3";"Su 4";"Su 5";
"1";"Ordre de Service";"1";"";"";"";"";"";"6FD0";"7FD0";"";"";"";
"2";"Période accords plans BA ";"30";"6FD-20";"";"";"";"";"8FD0";"";"";"";"";
"3";"Possibilité de début des lots techniques";"1";"32FD0";"";"";"";"";"";"";"";"";"";
"4";"Possibilité de début des lots secondaires";"1";"52FD0";"";"";"";"";"";"";"";"";"";
"5";"Derniers batiments hors vent ";"1";"56FD0";"";"";"";"";"";"";"";"";"";
"6";"Période établissement des plans BA ";"33";"1FD0";"";"";"";"";"2FD-20";"";"";"";"";
"7";"Installation de chantier";"25";"1FD0";"";"";"";"";"9FD0";"";"";"";"";
"8";"Implantation/traçage collège";"1";"2FD0";"";"";"";"";"9FD0";"";"";"";"";
"9";"Terrassements complément. collège";"9";"8FD0";"7FD0";"";"";"";"10FD0";"";"";"";"";
"10";"Fouilles rigoles/isolées collège";"18";"9FD0";"";"";"";"";"11FF1";"";"";"";"";
"11";"Béton de propreté collège";"16";"10FF1";"";"";"";"";"12FF3";"";"";"";"";
"12";"Béton semelles collège";"16";"11FF3";"";"";"";"";"13FF11";"";"";"";"";
"13";"Llongrines BA collège";"25";"12FF11";"";"";"";"";"14FF8";"20FD-13";"";"";"";
"14";"Elévation BA sciences rez collège";"30";"13FF8";"";"";"";"";"15FD-17";"";"";"";"";
"15";"Poutres BA sciences rez collège";"18";"14FD-17";"";"";"";"";"16FD-13";"";"";"";"";
"16";"Dalle haute rez sciences collège";"15";"15FD-13";"";"";"";"";"17FD-5";"24FD15";"28FD0";"";"";
"17";"Elévation BA sciences étage collège";"10";"16FD-5";"";"";"";"";"19FD0";"";"";"";"";
"18";"Elévation BA ens géné étage collège";"29";"22FD-15";"";"";"";"";"23FD-4";"";"";"";"";
"19";"Dalle BA escalier sciences collège";"4";"17FD0";"";"";"";"";"";"";"";"";"";
"20";"Elévation BA ens géné rez collège";"61";"13FD-13";"";"";"";"";"21FD-20";"";"";"";"";
"21";"Poutres BA ens géné rez collège";"25";"20FD-20";"";"";"";"";"22FD-20";"";"";"";"";
"22";"Dalle haute rez ens géné collège";"25";"21FD-20";"";"";"";"";"18FD-15";"";"";"";"";
"23";"Dalle BA couloirs ascenseur collège";"9";"18FD-4";"";"";"";"";"26FD0";"";"";"";"";
"24";"Prépara. dallage sciences collège";"4";"16FD15";"";"";"";"";"25FD0";"";"";"";"";
"25";"Coulage dallage sciences collège";"4";"24FD0";"";"";"";"";"";"";"";"";"";
"26";"Prépara. dallage ens géné collège";"4";"23FD0";"";"";"";"";"27FD0";"";"";"";"";
"27";"Coulage dallage sciences collège";"4";"26FD0";"";"";"";"";"";"";"";"";"";
"28";"Parois bardées terre cuite sciences";"16";"16FD0";"";"";"";"";"29FD0";"";"";"";"";
