"N° ";"Désignation";"Durée";"Pr 1";"Pr 2";"Pr 3";"Pr 4";"Pr 5";"Su 1";"Su 2";"Su 3";"Su 4";"Su 5";
"1";"Deneigement";"1";"";"";"";"";"";"";"";"";"";"";
"2";"Assurer une finition lisse des têtes d'îlots";"3";"";"";"";"";"";"";"";"";"";"";
"3";"Terminer les finitions bordures, caniveaux, îlots";"3";"";"";"";"";"";"";"";"";"";"";
"4";"Terminer l'îlot extérieur";"2";"";"";"";"";"";"";"";"";"";"";
"5";"Jointer les bordures";"1";"";"";"";"";"";"";"";"";"";"";
"6";"Rehausser les éléments du caniveau";"4";"";"";"";"";"";"";"";"";"";"";
"7";"Reprise du réseau air neuf dans l'abribus";"1";"";"";"";"";"";"";"";"";"";"";
"8";"Remplir de sable le long du pont bascule quai France";"1";"";"";"";"";"";"";"";"";"";"";
"9";"Reprendre les joints entre les éléments préfa. du caniveau";"2";"";"";"";"";"";"";"";"";"";"";
"10";"Remettre en place la protection de l'avaloir amont du diam.1200";"1";"";"";"";"";"";"";"";"";"";"";
"11";"Seuils de garages Andorre";"5";"";"";"";"";"";"";"";"";"";"";
"12";"Finitions sur Delta MS quai";"5";"";"";"";"";"";"";"";"";"";"";
"13";"Couvertines zinc";"9";"";"";"";"";"";"";"";"";"";"";
"14";"Rehausse garde-corps cour anglaise";"9";"";"";"";"";"";"";"";"";"";"";
"15";"Finitions enveloppes quais FR et And";"9";"";"";"";"";"";"";"";"";"";"";
"16";"Finitions diverses de bardage";"5";"";"";"";"";"";"";"";"";"";"";
"17";"Travaux en terrasse";"16";"";"";"";"";"";"";"";"";"";"";
"18";"Grutage matériaux finition terrasse auvent";"5";"";"";"";"";"";"";"";"";"";"";
"19";"Reprendre l'alim. des 3 feux d'indication des voies côté Andorre";"1";"";"";"";"";"";"";"";"";"";"";
"20";"Reprise d'étanchéité par SMAC";"1";"";"";"";"";"";"";"";"";"";"";
"21";"Reprise du bandeau par EIFFAGE";"1";"";"";"";"";"";"";"";"";"";"";
"22";"Poser piétogramme lumineux sous les auvents";"1";"";"";"";"";"";"";"";"";"";"";
"23";"Reposer un tampon K2C arraché";"1";"";"";"";"";"";"";"";"";"";"";
"24";"Remplacer 3 visières de feux cassées sur file droite descendante";"1";"";"";"";"";"";"";"";"";"";"";
"25";"Remplacer 1 support de feu cassé file droite descendante";"1";"";"";"";"";"";"";"";"";"";"";
"26";"Poser 1 feu flash sur îlot extérieur";"1";"";"";"";"";"";"";"";"";"";"";
"27";"Reprendre fissuration dans béton projeté bassin rétention";"2";"";"";"";"";"";"";"";"";"";"";
"28";"Arase et enduit à réaliser dans mur du déversoir";"3";"";"";"";"";"";"";"";"";"";"";
"29";"Piste d'accès au bassin";"3";"";"";"";"";"";"";"";"";"";"";
"30";"Appliquer enrobés BBSG classe 3 selon formulation ddée par DIRSO";"8";"";"";"";"";"";"";"";"";"";"";
"31";"Nettoyer caniveau + membrane dessus auvent";"3";"";"";"";"";"";"";"";"";"";"";
"32";"Poser barrières dans le sens montant avec feux à éclets et panneau";"9";"";"";"";"";"";"";"";"";"";"";
"33";"Echantillon peinture zébrures têtes d'ilots";"1";"";"";"";"";"";"";"";"";"";"";
"34";"Réaliser signalisation horizontale";"5";"";"";"";"";"";"";"";"";"";"";
"35";"Poser signalisation verticale";"5";"";"";"";"";"";"";"";"";"";"";
"36";"Peinture zébrures têtes d'ilôt des aubettes";"1";"";"";"";"";"";"";"";"";"";"";
"37";"Terminer pose des glissières de sécurité GS2";"3";"";"";"";"";"";"";"";"";"";"";
"38";"Poser glissière d'accès au bassin de rétention";"1";"";"";"";"";"";"";"";"";"";"";
"39";"Engazonnement après apport de terre sur auvent";"7";"";"";"";"";"";"";"";"";"";"";
"40";"Formation à l'utilisation du pont bascule (avec mise à dispo d'un ordinateur)";"1";"";"";"";"";"";"";"";"";"";"";
"41";"DOE à transmettre";"5";"";"";"";"";"";"";"";"";"";"";
