"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"1";"CHARPENTE AUVENT ARCHITECTURAL";"10";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"2";"ABRI VELO";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"3";"PLAN DE RETRAIT AMIANTE";"30";"";"";"";"";"C3-02---";"LOT 1 DESAMIANTAGE";
"4";"DESAMIANTAGE BAT 1";"1";"";"";"";"";"C3-02---";"LOT 1 DESAMIANTAGE";
"5";"BARDAGE PANNEAUX HD NORD";"1";"";"";"";"";"";"";
"6";"GARDE-CORPS ";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"7";"GRILLES AMENEE D'AIR";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"9";"BARDAGE ALU NORD";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"10";"DEMOLITION VETURE SUD";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"11";"ECHAFAUDAGE NORD BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"12";"GARDE-CORPS TOITURE TERRASSE";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"13";"BARDAGE PANNEAUX HD SUD";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"14";"REPRISE DE POUTRES BA";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"15";"DECOUPAGE DE PALIER ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"16";"OUVERTURE DANS VOILE BA EXISTANT ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"17";"PERCEMENT ET REMPLISSAGE";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"18";"PROTECTION DES OUVRAGES ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"19";"SUPPORT CYCLES";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"20";"DEMOLITION DES ALLEGES BAT 1";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"21";"GRILLES DE DEFENSES";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"22";"TOTEM";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"23";"BRISE VENT";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"24";"BRISE SOLEIL VERRIERE";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"25";"CHARPENTE ABRI A VELO";"4";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"26";"BRISE SOLEIL SUD BAT ACCUEIL";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"27";"HABILLAGE MENEAUX NORD BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"28";"ECHELLE CRINOLINE";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"29";"BRISE SOLEIL SUD BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"30";"DEMOLITION VETURE SUD";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"31";"LISSES DE GARDE-CORPS ";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"32";"SOCLES BA ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"33";"SOCLES POUR PANNEAUX ET TOTEM";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"34";"ABRI VELO ";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"35";"BARDAGE ALU SUD";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"36";"DEMOLITION DES DESCENTES EP ";"1";"";"";"";"";"";"";
"37";"ECHAFAUDAGE SUD BAT 1";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"38";"GRILLES METAL ROULANTES ";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"39";"VOLETS DE DESENFUMAGE";"1";"";"";"";"";"C3-06---";"LOT 5 SERRURERIE CHARPENTE METAL";
"40";"HABILLAGE MENEAU OUEST BAT 3";"1";"";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"41";"MISE HORS D'EAU HORS D'AIR PROVISOIRE";"2";"";"";"";"";"";"";
"42";"DEMOLITION DE BRISE SOLEIL";"1";"";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"43";"ISOLATION SOUS PLANCHER ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"44";"REGARDS ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"45";"REPRISE EN SOUS OEUVRE ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"46";"SEUILS ET APPUIS ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"47";"SIPHONS ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
