"N° ","Désignation","Durée","Prédécesseurs","Successeurs","Critère 1","Critère 2","Critère 3",
"1","CHARPENTE AUVENT ARCHITECTURAL","10","","41DD3 - 71DD3 - ","","","C3-06---",
"2","ABRI VELO","1","","","","","C3-06---",
"3","PLAN DE RETRAIT AMIANTE","30","","","","","C3-02---",
"4","DESAMIANTAGE BAT 1","1","","","","","C3-02---",
"5","BARDAGE PANNEAUX HD NORD","1","","","","","",
"6","GARDE-CORPS ","1","","","","","C3-06---",
"7","GRILLES AMENEE D'AIR","1","","","","","C3-06---",
"9","BARDAGE ALU NORD","1","","","","","C3-07---",
"10","DEMOLITION VETURE SUD","1","","","","","C3-07---",
"11","ECHAFAUDAGE NORD BAT 1","1","","","","","C3-07---",
"12","GARDE-CORPS TOITURE TERRASSE","1","","","","","C3-06---",
"13","BARDAGE PANNEAUX HD SUD","1","","","","","C3-07---",
"14","REPRISE DE POUTRES BA","1","","","","","C3-04---",
"15","DECOUPAGE DE PALIER ","1","","","","","C3-04---",
"16","OUVERTURE DANS VOILE BA EXISTANT ","1","","","","","C3-04---",
"17","PERCEMENT ET REMPLISSAGE","1","","","","","C3-04---",
"18","PROTECTION DES OUVRAGES ","1","","","","","C3-04---",
"19","SUPPORT CYCLES","1","","","","","C3-06---",
"20","DEMOLITION DES ALLEGES BAT 1","1","","","","","C3-04---",
"21","GRILLES DE DEFENSES","1","","","","","C3-06---",
"22","TOTEM","1","","","","","C3-06---",
"23","BRISE VENT","1","","","","","C3-06---",
"24","BRISE SOLEIL VERRIERE","1","","","","","C3-06---",
"25","CHARPENTE ABRI A VELO","4","","","","","C3-06---",
"26","BRISE SOLEIL SUD BAT ACCUEIL","1","","","","","C3-07---",
"27","HABILLAGE MENEAUX NORD BAT 1","1","","","","","C3-07---",
"28","ECHELLE CRINOLINE","1","","","","","C3-06---",
"29","BRISE SOLEIL SUD BAT 1","1","","","","","C3-07---",
"30","DEMOLITION VETURE SUD","1","","","","","C3-07---",
"31","LISSES DE GARDE-CORPS ","1","","","","","C3-06---",
"32","SOCLES BA ","1","","","","","C3-04---",
"33","SOCLES POUR PANNEAUX ET TOTEM","1","","","","","C3-04---",
"34","ABRI VELO ","1","","","","","C3-04---",
"35","BARDAGE ALU SUD","1","","","","","C3-07---",
"36","DEMOLITION DES DESCENTES EP ","1","","","","","",
"37","ECHAFAUDAGE SUD BAT 1","1","","","","","C3-07---",
"38","GRILLES METAL ROULANTES ","1","","","","","C3-06---",
"39","VOLETS DE DESENFUMAGE","1","","","","","C3-06---",
"40","HABILLAGE MENEAU OUEST BAT 3","1","53FD0 - ","","","","C3-07---",
"41","MISE HORS D'EAU HORS D'AIR PROVISOIRE","2","63DD3 - 1DD3 - ","","","","",
"42","DEMOLITION DE BRISE SOLEIL","1","71FD0 - ","","","","C3-04---",
"43","ISOLATION SOUS PLANCHER ","1","","","C1-TRANCHE 1---","","C3-04---",
"44","REGARDS ","1","","","C1-TRANCHE 1---","","C3-04---",
"45","REPRISE EN SOUS OEUVRE ","1","","","C1-TRANCHE 1---","","C3-04---",
"46","SEUILS ET APPUIS ","1","","","C1-TRANCHE 1---","","C3-04---",
"47","SIPHONS ","1","","","C1-TRANCHE 1---","","C3-04---",
"48","LINTEAUX CHAINAGES ","1","53FF1 - ","","C1-TRANCHE 1---","","C3-04---",
"49","RESEAUX SOUS DALLAGES","1","","80FD0 - ","C1-TRANCHE 1---","","C3-04---",
"50","ENDUITS INTERIEURS","1","","","C1-TRANCHE 1---","","C3-04---",
"51","EDICULES ","1","","","C1-TRANCHE 1---","","C3-04---",
"52","REPRISES DES ETANCHEITES BAT 1","1","","","C1-TRANCHE 1---","","C3-05---",
"53","PARPAINGS","1","","65FD0 - 48FF1 - 64FD0 - 40FD0 - ","C1-TRANCHE 1---","","C3-04---",
"54","DESCENTES EP NEUVES ","1","","","C1-TRANCHE 1---","","C3-05---",
"55","ETANCHEITES SUR OUVRAGES BA ","1","","","C1-TRANCHE 1---","","C3-05---",
"56","HABILLAGE MENEAU SUD BAT 3","1","","","C1-TRANCHE 1---","","C3-07---",
"57","ETANCHEITE NEUVE","1","","","C1-TRANCHE 1---","","C3-05---",
"58","BECHES ","1","","80FD0 - ","C1-TRANCHE 1---","","C3-04---",
"59","LIBAGE ","1","","","C1-TRANCHE 1---","","C3-04---",
"60","DEMOLITION DES ALLEGES BAT 3","1","","","C1-TRANCHE 1---","","C3-04---",
"63","ORDRE DE SERVICE ","1","","66FD0 - 70FD0 - 68FD0 - 71DD3 - 41DD3 - ","C1-TRANCHE 1---","","",
"64","ENDUITS","1","53FD0 - ","","C1-TRANCHE 1---","","C3-04---",
"65","DRESSAGE DES MURS MACONNES","1","53FD0 - ","","C1-TRANCHE 1---","","C3-04---",
"66","PLAN DE RETRAIT AMIANTE ","1","63FD0 - ","67FD0 - ","C1-TRANCHE 1---","","",
"67","DESAMIANTAGE BAT 2","1","66FD0 - ","315FD0 - ","C1-TRANCHE 1---","","C3-02---",
"68","INSTALLATION DE CHANTIER ","10","63FD0 - ","69FD0 - 309FD0 - ","C1-TRANCHE 1---","","C3-04---",
"69","MISE HORS D'EAU ET HORS D'AIR PROVISOIRE","10","68FD0 - ","","C1-TRANCHE 1---","","C3-04---",
"70","DEMOLITION DU BATIMENT ACCUEIL","30","63FD0 - ","73FD0 - ","C1-TRANCHE 1---","","",
"71","DEMOLITION PARTIELLE DU BATIMENT 3","1","63DD3 - 1DD3 - ","72FD0 - 42FD0 - ","C1-TRANCHE 1---","","C3-04---",
"72","SAIGNE DANS DALLAGE EXISTANT","1","71FD0 - ","","C1-TRANCHE 1---","","C3-04---",
"73","TERRASSEMENT ","3","70FD0 - ","75FD0 - 76FD0 - 74DD3 - ","C1-TRANCHE 1---","","C3-04---",
"74","EVACUATION DES TERRES ","3","73DD3 - ","","C1-TRANCHE 1---","","C3-04---",
"75","FONDATIONS ","1","73FD0 - ","77FD0 - 76FD0 - ","C1-TRANCHE 1---","","C3-04---",
"76","REMBLAIS","5","73FD0 - 75FD0 - 77FD0 - ","","C1-TRANCHE 1---","","C3-04---",
"77","LONGRINES ","1","75FD0 - ","79FD0 - 78DD3 - 76FD0 - ","C1-TRANCHE 1---","","C3-04---",
"78","FOSSE ASCENSEUR ","1","77DD3 - ","","C1-TRANCHE 1---","","C3-04---",
"79","FUT ANCRAGE CHARPENTE ","1","77FD0 - ","80FD0 - ","C1-TRANCHE 1---","","C3-04---",
"80","DALLE PORTEE","1","79FD0 - 58FD0 - 49FD0 - ","81FD0 - 82FD0 - ","C1-TRANCHE 1---","","C3-04---",
"81","VOILES BA ","1","80FD0 - ","84FD0 - ","C1-TRANCHE 1---","","C3-04---",
"82","POTEAUX BA ","1","80FD0 - ","83FD0 - ","C1-TRANCHE 1---","","C3-04---",
