N° ;Désignation;Durée;Crit 1;Désign Crit 1;Crit 2;Désign Crit 2;Crit 3;Désign Crit 3
1;Signature des marchés de travaux;1;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-01---;Maîtrise d'ouvrage & maîtrise d'oeuvre;T-01---;ENSEMBLE du PROJET
2;Notification des marchés;8;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-01---;Maîtrise d'ouvrage & maîtrise d'oeuvre;T-01---;ENSEMBLE du PROJET
3;Ordre de service de démarrage des travaux;1;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-01---;Maîtrise d'ouvrage & maîtrise d'oeuvre;T-01---;ENSEMBLE du PROJET
4;Période de préparation;30;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-02---;Ensemble entreprises Tous Corps d' Etat;T-01---;ENSEMBLE du PROJET
5;Remise descentes de charges et réservations ;15;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-02---;Ensemble entreprises Tous Corps d' Etat;T-01---;ENSEMBLE du PROJET
6;Etudes d'exécution, plans d'EXE;40;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-02---;Ensemble entreprises Tous Corps d' Etat;T-01---;ENSEMBLE du PROJET
7;Plans IC, Convt.prorata,PPSPS;5;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-03---;Lot n° 01 - Gros-oeuvre;T-01---;ENSEMBLE du PROJET
8;Implantations plateformes, validation;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
9;Terrassements Généraux, voies d'accès;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
10;Installation de chantier;8;P-01---;PHASE A - PASSATION Marchés, Préparation Chantier;I-03---;Lot n° 01 - Gros-oeuvre;T-01---;ENSEMBLE du PROJET
11;Implantation des bâtiments;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-01---;ENSEMBLE du PROJET
12;Fondations spéciales (env 250 pieux);30;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-01---;ENSEMBLE du PROJET
13;Z2+3 - Recépage pieux  et pose longrines;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-02---;Zone 2 et 3 - Ensemble HEBERGEMENT
14;Z2+3 - Réseaux entérrés;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-02---;Zone 2 et 3 - Ensemble HEBERGEMENT
15;Z2+3 - Libages et planchers Vs;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-02---;Zone 2 et 3 - Ensemble HEBERGEMENT
16;Z2 - Elévations  et Pl Ht RdC;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
17;Z2 - Elévations et arasements en R+1 ;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
18;Z1 - Recépage pieux  et pose longrines;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
19;Z1 - Réseaux entérrés et dallage S/Sol Sous-sol;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
20;Z1 - Elévations et Pl Ht sous-sol;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
21;Z1 - Réseaux entérrés en VS;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-03---;Lot n° 01 - Gros-oeuvre;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
