"N° ";"Désignation";"Durée";"Début Souhaité";"Fin Souhaitée";"Prédécesseurs";"Successeurs";"Crit1";"Désign Crit1";"Crit2";"Désign Crit2";"Crit3";"Désign Crit3";"Crit4";"Désign Crit4";"Code tâche";"Coût +";"Coût -";
"1";"Signature des marchés de travaux";"1";"";"";"";"2FD0,";"P-01---";"Passation Marchés Préparation";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"2";"Notification des marchés";"8";"";"";"1FD0,";"3FD0,";"P-01---";"Passation Marchés Préparation";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"3";"Ordre de service de démarrage des travaux";"1";"";"";"2FD0,";"4FD0,";"P-01---";"Passation Marchés Préparation";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"4";"Période de préparation";"30";"";"";"3FD0,";"5FD-10,7FD0,8FD-15,";"P-01---";"Passation Marchés Préparation";"I-02---";"Ensemble entreprises Tous Corps d' Etat";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"5";"Remise descentes de charges et réservations ";"15";"";"";"4FD-10,";"6FD-10,";"P-01---";"Passation Marchés Préparation";"I-02---";"Ensemble entreprises Tous Corps d' Etat";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"6";"Etudes d'exécution, plans d'EXE";"40";"";"";"5FD-10,";"";"P-01---";"Passation Marchés Préparation";"I-02---";"Ensemble entreprises Tous Corps d' Etat";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"7";"Plans IC, Convt.prorata,PPSPS";"5";"";"";"4FD0,";"";"P-01---";"Passation Marchés Préparation";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"8";"Implantations plateformes, validation";"5";"";"";"4FD-15,";"9FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"9000";"";
"9";"Terrassements Généraux, voies d'accès";"15";"";"";"8FD0,";"192FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"120662";"";
"10";"Installation de chantier";"8";"";"";"193FD0,";"";"P-01---";"Passation Marchés Préparation";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"25000";"";
"11";"Implantation des bâtiments";"5";"";"";"193FD0,";"12FD-4,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"2500";"";
"12";"Fondations spéciales (env 250 pieux)";"30";"";"";"11FD-4,";"13FD-10,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"71820";"";
"13";"Z2+3 - Recépage pieux  et pose longrines";"20";"";"";"12FD-10,";"14FD-5,18FD0,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-02---";"Zone 2 et 3 - Ensemble HEBERGEMENT";"R---";"RESSOURCES";"";"12915";"";
"14";"Z2+3 - Réseaux entérrés";"10";"";"";"13FD-5,";"15FD-5,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-02---";"Zone 2 et 3 - Ensemble HEBERGEMENT";"R---";"RESSOURCES";"";"4000";"";
"15";"Z2+3 - Libages et planchers Vs";"20";"";"";"14FD-5,";"16FD-10,24FD-5,32FD0,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-02---";"Zone 2 et 3 - Ensemble HEBERGEMENT";"R---";"RESSOURCES";"";"268607";"";
"16";"Z2 - Elévations  et Pl Ht RdC";"20";"";"";"15FD-10,";"17FD-5,41FD0,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"292966";"";
"17";"Z2 - Elévations et arasements en R+1 ";"20";"";"";"16FD-5,";"28FD0,29FD15,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"147337.22";"";
"18";"Z1 - Recépage pieux  et pose longrines";"15";"";"";"13FD0,";"21FD-5,19FD5,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"9165";"";
"19";"Z1 - Réseaux entérrés et dallage S/Sol Sous-sol";"10";"";"";"18FD5,";"20FD-5,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"1500";"";
"20";"Z1 - Elévations et Pl Ht sous-sol";"15";"";"";"19FD-5,";"";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"39890";"";
"21";"Z1 - Réseaux entérrés en VS";"10";"";"";"18FD-5,";"22FD-5,212FD0,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"1500";"";
"22";"Z1 - Libages et planchers VS";"25";"";"";"21FD-5,";"23FD-10,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"76208";"";
"23";"Z1 - Elévations, Pl Ht RdC, acrotères";"25";"";"";"22FD-10,";"30FD0,34FD0,33FD15,194FD0,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"133988.4";"";
"24";"Z3 - Relevés béton sous ossature bois + seuils ";"15";"";"";"15FD-5,";"27FD-5,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"41000";"";
"25";"Z1 - Appuis + seuils menuiseries extérieures";"10";"";"";"34FD0,";"26FD0,44FD0,186FD0,";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"60762.1";"";
"26";"Ouvrages divers extérieurs";"25";"";"";"25FD0,";"";"P-02---";"Exécution des Travaux";"I-03---";"Lot n° 01 - Gros-oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"140000";"";
"27";"Z3 - Ossature bois + Charpente couverture couverture";"30";"";"";"24FD-5,";"46FD-10,51FD0,63FD-10,194FD0,";"P-02---";"Exécution des Travaux";"I-04---";"Lot n° 02 - Charpente bois - Ossature bois";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"130854";"";
"28";"Z2 - Charpente couverture";"15";"";"";"17FD0,";"35FD0,67FD0,55FD0,185FD0,194FD0,";"P-02---";"Exécution des Travaux";"I-04---";"Lot n° 02 - Charpente bois - Ossature bois";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"143685";"";
"29";"Z2 - Etanchéité terrasse R+2";"8";"";"";"17FD15,";"59FD0,";"P-02---";"Exécution des Travaux";"I-05---";"Lot n° 03 - Etanchéité";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"30000";"";
