N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
1;O.S.DEMARRAGE TRAVAUX;0 jour;Jeu 24/12/09;Jeu 24/12/09;;"2FD+1 jour;3FD+1 jour;4FD+1 jour"
2;PERIODE DE PREPARATION;6 sm;Ven 25/12/09;Jeu 04/02/10;1FD+1 jour;6
3;ETUDES MOE / ENTREPRISES;20 sm;Ven 25/12/09;Jeu 13/05/10;1FD+1 jour;
4;INTEMPERIES;30 jours;Ven 25/12/09;Jeu 04/02/10;1FD+1 jour;5
5;DEVOIEMENT CABLES EDF SOUS BAT. C ET A;6 sm;Ven 05/02/10;Jeu 18/03/10;4;
6;Installations de chantier / montage Grues;2 sm;Ven 05/02/10;Jeu 18/02/10;2;10
7;;;;;;
8;BÂTIMENT E;269 jours;Ven 19/02/10;Lun 11/04/11;;
9;01 / GROS-ŒUVRE;196 jours;Ven 19/02/10;Mer 15/12/10;;
10;Fondations;2 sm;Ven 19/02/10;Jeu 04/03/10;6;"11DD+5 jours;90DD;95DD;106FD+10 jours"
11;Elévations + dallage RdC;2 sm;Ven 26/02/10;Jeu 11/03/10;10DD+5 jours;12
12;Dalle haute RdC;2 sm;Ven 12/03/10;Jeu 25/03/10;11;13
13;Elévations R+1;2 sm;Ven 26/03/10;Jeu 08/04/10;12;14
14;Dalle haute R+1;1 sm;Ven 09/04/10;Jeu 15/04/10;13;15
15;Elévations R+2;2 sm;Ven 16/04/10;Jeu 29/04/10;14;16
16;Dalle haute R+2;1 sm;Ven 30/04/10;Jeu 06/05/10;15;17
17;Elévations Attique;1 sm;Ven 07/05/10;Jeu 13/05/10;16;84FD+2 sm
18;Structures métallique des balcons;2 sm;Lun 26/07/10;Ven 27/08/10;77DD+3 sm;"42FD+1 sm;116FD-1 sm"
19;Pose platelages bois;1 sm;Lun 25/10/10;Ven 29/10/10;80;"20;28"
20;Finitions sur consignes Moe;6 sm;Mar 02/11/10;Mer 15/12/10;19;
21;03 / CHARPENTE - MURS OSSATURE BOIS - BARDAGE;78 jours;Lun 12/07/10;Lun 22/11/10;;
22;Plans PAC;0 jour;Lun 12/07/10;Lun 12/07/10;23DF;
23;Commande ;2 sm;Lun 12/07/10;Lun 26/07/10;24DF;22DF
24;Fabrication;1 sm;Lun 26/07/10;Lun 23/08/10;25DF;23DF
25;Pose murs bois;1 sm;Lun 23/08/10;Ven 27/08/10;31;"24DF;26"
26;Pose charpente ;1 sm;Lun 30/08/10;Ven 03/09/10;25;27FD-2 jours
27;Pose volige;1 sm;Jeu 02/09/10;Mer 08/09/10;26FD-2 jours;30FD+12 jours
28;Réalisation bardage;13 jours;Mar 02/11/10;Lun 22/11/10;19;
29;04 / COUVERTURE - ETANCHEITE - ZINGUERIE;80 jours;Lun 19/07/10;Mer 01/12/10;;
30;Pose isolant + étanchéité;1 sm;Lun 27/09/10;Ven 01/10/10;27FD+12 jours;"46;34;38DD"
31;Etanchéité terrasses;2 sm;Lun 19/07/10;Ven 30/07/10;77;"32;25"
32;Pose dalles sur plots;1 sm;Lun 23/08/10;Ven 27/08/10;31;
33;Zinguerie;1 sm;Jeu 25/11/10;Mer 01/12/10;81;
34;Hors d'eau;0 jour;Ven 01/10/10;Ven 01/10/10;30;85FD+12 jours
35;05 / MENUISERIES EXTERIEURES BOIS;45 jours;Lun 26/07/10;Ven 15/10/10;;
36;Plans PAC;0 jour;Lun 26/07/10;Lun 26/07/10;37DF;
37;Fabrication / Commande;6 sm;Lun 26/07/10;Lun 27/09/10;38DF;36DF
38;Pose châssis;2 sm;Lun 27/09/10;Ven 08/10/10;30DD;"39;37DF;40;80FD+1 sm"
39;Finitions;1 sm;Lun 11/10/10;Ven 15/10/10;38;
40;Hors d'air;0 jour;Ven 08/10/10;Ven 08/10/10;38;
41;06 / SERRURERIE - METALLERIE (sur cons OPC);115 jours;Lun 06/09/10;Mer 02/03/11;;
42;Pose garde-corps balcons;1 sm;Lun 06/09/10;Ven 10/09/10;18FD+1 sm;
43;Pose murs rideaux;1 sm;Jeu 02/12/10;Mer 08/12/10;81FD+1 sm;
44;Pose mains courantes;1 sm;Jeu 24/02/11;Mer 02/03/11;71FD+1 sm;
45;07 / CLOISONS - DOUBLAGES - FAUX PLAFONDS;45 jours;Lun 04/10/10;Mer 08/12/10;;
46;Cloisons;5 sm;Lun 04/10/10;Lun 08/11/10;30;"47FD-2 sm;50;91DD;96DD;58DD+3 sm"
47;Doublage;4 sm;Lun 25/10/10;Mer 24/11/10;46FD-2 sm;48
48;Faux plafonds y c. soffites;2 sm;Jeu 25/11/10;Mer 08/12/10;47;69FD-1 sm
49;08 / MENUISERIE INTERIEURE BOIS;75 jours;Mar 09/11/10;Mer 09/03/11;;
50;Pose blocs portes;2 sm;Mar 09/11/10;Mer 24/11/10;46;52FD+2 sm
