N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
1;1;1 jour;Jeu 28/10/10;Jeu 28/10/10;;"2;3"
2;2;5 jours;Ven 29/10/10;Jeu 04/11/10;1;6
3;3;5 jours;Ven 29/10/10;Jeu 04/11/10;1;4
4;4;5 jours;Ven 05/11/10;Jeu 11/11/10;3;"5;6"
5;5;20 jours;Ven 12/11/10;Jeu 09/12/10;4;7
6;6;50 jours;Ven 12/11/10;Jeu 20/01/11;"2;4";7
7;7;5 jours;Ven 21/01/11;Jeu 27/01/11;"5;6";8DF
8;8;5 jours;Ven 14/01/11;Ven 21/01/11;7DF;9DF
9;9;10 jours;Ven 31/12/10;Ven 14/01/11;8DF;10DF+5 jours
10;10;20 jours;Ven 10/12/10;Jeu 06/01/11;9DF+5 jours;11DF
11;11;10 jours;Ven 26/11/10;Ven 10/12/10;10DF;12DF+5 jours
12;12;5 jours;Ven 26/11/10;Jeu 02/12/10;11DF+5 jours;
