N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
1;;;;;;
2;TRANCHE 3;975 jours;Lun 04/10/10;Ven 27/06/14;;
3;;;;;;
4;O.S. DE DEMARRAGE;0 jour;Lun 04/10/10;Lun 04/10/10;;"15FD+5 jours;5"
5;PERIODE DE PREPARATION;12 sm;Lun 04/10/10;Ven 24/12/10;4;"8DD+30 jours;36DD+20 jours"
6;;;;;;
7;ETUDES EXE MOE;125 jours;Lun 15/11/10;Ven 06/05/11;;
8;Bät S (EMOP);8 sm;Lun 15/11/10;Ven 07/01/11;5DD+30 jours;9DD+20 jours
9;Bât R;15 sm;Lun 13/12/10;Ven 25/03/11;8DD+20 jours;10DD+20 jours
10;Bât N (BBC);13 sm;Lun 10/01/11;Ven 08/04/11;9DD+20 jours;11DD+20 jours
11;Bât K;13 sm;Lun 07/02/11;Ven 06/05/11;10DD+20 jours;
12;;;;;;
13;PHASE 1;320 jours;Lun 04/10/10;Ven 23/12/11;;
14;PHASE 1A : DEMOLITIONS PREALABLES;50 jours;Ven 08/10/10;Ven 17/12/10;;
15;301 - DEMOLITION / DESAMIANTAGE;50 jours;Ven 08/10/10;Ven 17/12/10;4FD+5 jours;
16;Dépôt Plan de Retrait;0 jour;Ven 08/10/10;Ven 08/10/10;;"17;23FD+5 jours"
17;Instruction Plan de Retrait MCA;4 sm;Lun 11/10/10;Ven 05/11/10;16;18
18;Dépose MCA;1 sm;Lun 08/11/10;Ven 12/11/10;17;21
19;Démolitions préalables;2 sm;Lun 06/12/10;Ven 17/12/10;31;
20;322 - FACADES / BARDAGES METALLIQUES;10 jours;Lun 15/11/10;Ven 26/11/10;;
21;Fermetures provisoires & issue de secours;2 sm;Lun 15/11/10;Ven 26/11/10;18;31FD-5 jours
22;340 - GENIE CLIMATIQUE;10 jours;Lun 18/10/10;Ven 29/10/10;;
23;Repérages;1 sm;Lun 18/10/10;Ven 22/10/10;16FD+5 jours;"24;26DD"
24;Consignations & Dévoiments;1 sm;Lun 25/10/10;Ven 29/10/10;23;
25;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;10 jours;Lun 18/10/10;Ven 29/10/10;;
26;Repérages;1 sm;Lun 18/10/10;Ven 22/10/10;23DD;"27;29DD"
27;Consignations & Dévoiments;1 sm;Lun 25/10/10;Ven 29/10/10;26;
28;342 - ELECTRICITE;10 jours;Lun 18/10/10;Ven 29/10/10;;
29;Repérages;1 sm;Lun 18/10/10;Ven 22/10/10;26DD;30
30;Consignations & Dévoiments;1 sm;Lun 25/10/10;Ven 29/10/10;29;
31;"DET MOe ""avant démolition""";2 sm;Lun 22/11/10;Ven 03/12/10;21FD-5 jours;19
32;;;;;;
33;PHASE 1B : BÂTIMENTS S, R1, N1 (BBC) & K1;320 jours;Lun 04/10/10;Ven 23/12/11;;
34;;;;;;
35;302 - TERRASSEMENTS / V.R.D.;75 jours;Lun 01/11/10;Ven 11/02/11;;
36;Plate-forme Bât S;3 sm;Lun 01/11/10;Ven 19/11/10;5DD+20 jours;"37;48DD+20 jours"
37;Plate-forme Bât R1;4 sm;Lun 22/11/10;Ven 17/12/10;36;38
38;Plate-forme Bât N1;4 sm;Lun 20/12/10;Ven 14/01/11;37;39
39;Plate-forme Bât K1;4 sm;Lun 17/01/11;Ven 11/02/11;38;
40;;;;;;
41;CONSTRUCTION BÂTIMENT S (EMOP) y/c Réception;215 jours;Lun 04/10/10;Ven 29/07/11;;
42;302 - TERRASSEMENTS / V.R.D.;40 jours;Lun 07/02/11;Ven 01/04/11;;
43;Tâches Critiques;4 sm;Lun 07/02/11;Ven 04/03/11;54;"44;46"
44;Tâches non ciritiques sur consignes OPC;4 sm;Lun 07/03/11;Ven 01/04/11;43;
45;303 - ESPACES VERTS;20 jours;Lun 07/03/11;Ven 01/04/11;;
46;Tâches Critiques;4 sm;Lun 07/03/11;Ven 01/04/11;43;
47;310 - GROS-ŒUVRE;80 jours;Lun 29/11/10;Ven 18/03/11;;
48;Tâches Critiques;6 sm;Lun 29/11/10;Ven 07/01/11;36DD+20 jours;"49;54;96DD;99DD;102DD;125DD+4 sm"
49;Tâches non ciritiques sur consignes OPC;10 sm;Lun 10/01/11;Ven 18/03/11;48;
50;311 - DALLAGE INDUSTRIEL;50 jours;Lun 28/02/11;Ven 06/05/11;;
51;Tâches Critiques;2 sm;Lun 28/02/11;Ven 11/03/11;57;"52FD+30 jours;55;72;69"
52;Tâches non ciritiques sur consignes OPC;2 sm;Lun 25/04/11;Ven 06/05/11;51FD+30 jours;
53;312 - CHARPENTE METALLIQUE;65 jours;Lun 10/01/11;Ven 08/04/11;;
54;Tâches Critiques;4 sm;Lun 10/01/11;Ven 04/02/11;48;"55;57;61;65;43"
55;Tâches non ciritiques sur consignes OPC;4 sm;Lun 14/03/11;Ven 08/04/11;"54;51";
56;320 - COUVERTURE / ETANCHEITE;40 jours;Lun 07/02/11;Ven 01/04/11;;
57;Tâches Critiques;3 sm;Lun 07/02/11;Ven 25/02/11;54;"51;58"
58;HORS D'EAU;0 jour;Ven 25/02/11;Ven 25/02/11;57;"59;75;105FD+15 jours"
59;Tâches non ciritiques sur consignes OPC;5 sm;Lun 28/02/11;Ven 01/04/11;58;
60;321 - MENUISERIE EXTERIEURE ALUMINIUM;45 jours;Lun 07/02/11;Ven 08/04/11;;
61;Tâches Critiques;3 sm;Lun 07/02/11;Ven 25/02/11;54;62
62;HORS D'AIR;0 jour;Ven 25/02/11;Ven 25/02/11;61;63
63;Tâches non ciritiques sur consignes OPC;6 sm;Lun 28/02/11;Ven 08/04/11;62;
64;322 - FACADES / BARDAGES METALLIQUES;55 jours;Lun 07/02/11;Ven 22/04/11;;
65;Tâches Critiques;3 sm;Lun 07/02/11;Ven 25/02/11;54;66
66;HORS D'AIR;0 jour;Ven 25/02/11;Ven 25/02/11;65;67
67;Tâches non ciritiques sur consignes OPC;8 sm;Lun 28/02/11;Ven 22/04/11;66;
68;324 - PORTES INDUSTRIELLES;20 jours;Lun 14/03/11;Ven 08/04/11;;
69;Tâches Critiques;2 sm;Lun 14/03/11;Ven 25/03/11;51;70
70;Tâches non ciritiques sur consignes OPC;2 sm;Lun 28/03/11;Ven 08/04/11;69;
71;330 - SERRURERIE / METALLERIE;45 jours;Lun 14/03/11;Ven 13/05/11;;
72;Tâches Critiques;3 sm;Lun 14/03/11;Ven 01/04/11;51;73
73;Tâches non ciritiques sur consignes OPC;6 sm;Lun 04/04/11;Ven 13/05/11;72;
74;331 - CLOISONS;30 jours;Lun 28/02/11;Ven 08/04/11;;
75;Tâches Critiques;4 sm;Lun 28/02/11;Ven 25/03/11;58;"76;81;87"
76;Tâches non ciritiques sur consignes OPC;2 sm;Lun 28/03/11;Ven 08/04/11;75;
77;332 - FAUX-PLAFONDS;20 jours;Lun 02/05/11;Ven 27/05/11;;
78;Tâches Critiques;2 sm;Lun 02/05/11;Ven 13/05/11;90;"79;84"
79;Tâches non ciritiques sur consignes OPC;2 sm;Lun 16/05/11;Ven 27/05/11;78;
80;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;50 jours;Lun 28/03/11;Ven 03/06/11;;
81;Tâches Critiques;2 sm;Lun 28/03/11;Ven 08/04/11;75;"82;90"
82;Tâches non ciritiques sur consignes OPC;8 sm;Lun 11/04/11;Ven 03/06/11;81;
83;334 - REVÊTEMENT SOL SOUPLE;20 jours;Lun 16/05/11;Ven 10/06/11;;
84;Tâches Critiques;2 sm;Lun 16/05/11;Ven 27/05/11;78;"85;110;111"
85;Tâches non ciritiques sur consignes OPC;2 sm;Lun 30/05/11;Ven 10/06/11;84;93
86;335 - CARRELAGE / FAÏENCE;25 jours;Lun 28/03/11;Ven 29/04/11;;
87;Tâches Critiques;3 sm;Lun 28/03/11;Ven 15/04/11;75;88
88;Tâches non ciritiques sur consignes OPC;2 sm;Lun 18/04/11;Ven 29/04/11;87;
89;336 - PEINTURE;30 jours;Lun 11/04/11;Ven 20/05/11;;
90;Tâches Critiques;3 sm;Lun 11/04/11;Ven 29/04/11;81;"91;78"
91;Tâches non ciritiques sur consignes OPC;3 sm;Lun 02/05/11;Ven 20/05/11;90;
92;337 - NETTOYAGE;25 jours;Lun 13/06/11;Ven 15/07/11;;
93;Nettoyage avant OPR;1 sm;Lun 13/06/11;Ven 17/06/11;85;"94FD+15 jours;112"
94;Nettoyage avant RECEPTION;1 sm;Lun 11/07/11;Ven 15/07/11;93FD+15 jours;
95;340 - GENIE CLIMATIQUE;140 jours;Lun 29/11/10;Ven 10/06/11;;
96;Travaux sur consignes OPC;24 sm;Lun 29/11/10;Ven 13/05/11;48DD;97
97;Essais / Mise en service;4 sm;Lun 16/05/11;Ven 10/06/11;96;
98;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;140 jours;Lun 29/11/10;Ven 10/06/11;;
99;Travaux sur consignes OPC;24 sm;Lun 29/11/10;Ven 13/05/11;48DD;100
100;Essais / Mise en service;4 sm;Lun 16/05/11;Ven 10/06/11;99;
