"N° ";"Désignation";"Durée";"Début Souhaité";"Fin Souhaitée";"Prédécesseurs";"Successeurs";"Crit1";"Désign Crit1";"Crit2";"Désign Crit2";"Crit3";"Désign Crit3";"Crit4";"Désign Crit4";"Code tâche";"Coût +";"Coût -";
"1";"Dépose amiante";"15";"";"";"3FD0,";"20FD0,40FD0,19FD-5,";"P-01-01--";"PREPARATION ";"I-01---";"HORS CHANTIER";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"2";"Ordre de service";"1";"";"";"";"3FD0,4FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"1500,00";"0.00";
"3";"Relevé sur place";"1";"";"";"2FD0,";"5FD0,1FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"2000,00";
"4";"Plan exécution entreprises TCE";"14";"";"";"2FD0,";"9FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"5";"Etablissement fond de plan";"4";"";"";"3FD0,";"6FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"6";"Accord fond de plan";"2";"";"";"5FD0,";"7FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"7";"Plan réseaux chauffag.électr.plomb.";"7";"";"";"6FD0,";"8FD0,9FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"8";"Accord plan réseaux";"2";"";"";"7FD0,";"45FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"9";"Fin plans exécution entreprises TCE";"9";"";"";"4FD0,7FD0,";"11FD0,10DD0,22FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"10";"Remis PV notices techniques";"10";"";"";"9DD0,";"12FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"11";"Accord plans TCE";"5";"";"";"9FD0,";"23FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"12";"Accord PV notices techniques";"10";"";"";"10FD0,";"24FD-3,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"13";"Possibilité utilis. sanitair. prov.";"1";"";"";"31FD0,";"33FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"14";"Plans recolements entreprises TCE";"20";"";"";"59FD-5,";"15FD-7,";"P-01-02--";" PRECEPTION";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"15";"Essais";"10";"";"";"14FD-7,56FD0,63FD-5,";"57FD-3,";"P-01-02--";" PRECEPTION";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"16";"Réception restaurant";"1";"";"";"57FD0,";"17FD0,";"P-01-02--";" PRECEPTION";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"17";"Levées de réserves restaurant";"7";"";"";"16FD0,";"18FD0,";"P-01-02--";" PRECEPTION";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"18";"Livraison restaurant";"1";"";"";"17FD0,";"";"P-01-02--";" PRECEPTION";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
