Nº;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
"1;";"OPERA;";"209 jours;";"Lun 23/11/09;";"Ven 15/10/10;";;
"2;";"EXPO BALLETS RUSSES;";"124 jours;";"Lun 23/11/09;";"Ven 21/05/10;";;3
"3;";"DEPOSE EXPO BALLETS RUSSES;";"10 jours;";"Lun 24/05/10;";"Ven 04/06/10;";2;4,190DD
"4;";"MONTAGE EXPO REGINE CRESPIN;";"10 jours;";"Lun 07/06/10;";"Ven 18/06/10;";3;5
"5;";"EXPO REGINE CRESPIN;";"55 jours;";"Lun 21/06/10;";"Ven 01/10/10;";4;6
"6;";"DEPOSE EXPOSE REGINE CRESPIN;";"10 jours;";"Lun 04/10/10;";"Ven 15/10/10;";5;
"7;";"GENERALITES;";"289 jours;";"Lun 24/08/09;";"Ven 05/11/10;";;
"8;";"TRANCHE FERME - ROTONDE;";"284 jours;";"Lun 24/08/09;";"Ven 29/10/10;";;
"9;";"O.S;";"1 jour;";"Lun 24/08/09;";"Lun 24/08/09;";;
"10;";"OPR;";"2 sms;";"Lun 18/10/10;";"Ven 29/10/10;";245;11FF
"11;";"RECEPTION;";"1 jour;";"Ven 29/10/10;";"Ven 29/10/10;";10FF;23
"12;";"TRANCHE CONDITIONNELLE 1 - FACADE OUEST;";"289 jours;";"Lun 24/08/09;";"Ven 05/11/10;";;
"13;";"O.S;";"1 jour;";"Lun 24/08/09;";"Lun 24/08/09;";;
"14;";"OPR;";"2 sms;";"Lun 25/10/10;";"Ven 05/11/10;";247;15FF
"15;";"RECEPTION;";"1 jour;";"Ven 05/11/10;";"Ven 05/11/10;";14FF;25
"16;";"LOT 01 INSTALLATION DE CHANTIER;";"10 jours;";"Lun 22/11/10;";"Ven 03/12/10;";;
"17;";"TRANCHE FERME;";"5 jours;";"Lun 22/11/10;";"Ven 26/11/10;";;
"18;";"DEPOSE PALISSADES ET PROTECTIONS;";"1 sm;";"Lun 22/11/10;";"Ven 26/11/10;";23;
"19;";"TRANCHE CONDITIONNELLE;";"5 jours;";"Lun 29/11/10;";"Ven 03/12/10;";;
"20;";"DEPOSE PALISSADES ET PROTECTIONS;";"1 sm;";"Lun 29/11/10;";"Ven 03/12/10;";25;
"21;";"LOT 02 ECHAFAUDAGE - ENTREPOSE;";"20 jours;";"Lun 01/11/10;";"Ven 26/11/10;";;
"22;";"TRANCHE FERME;";"15 jours;";"Lun 01/11/10;";"Ven 19/11/10;";;
"23;";"DEPOSE ECHAFAUDAGE;";"3 sms;";"Lun 01/11/10;";"Ven 19/11/10;";11;18
"24;";"TRANCHE CONDITIONNELLE;";"15 jours;";"Lun 08/11/10;";"Ven 26/11/10;";;
"25;";"DEPOSE ECHAFAUDAGE;";"3 sms;";"Lun 08/11/10;";"Ven 26/11/10;";15;20
"26;";"LOT 03 PIERRE CALCAIRE - PRADEAU MORIN;";"264 jours;";"Lun 24/08/09;";"Ven 01/10/10;";;
"27;";"TRANCHE FERME;";"264 jours;";"Lun 24/08/09;";"Ven 01/10/10;";;
"28;";"ETUDE EXECUTION;";"4 sms;";"Lun 23/11/09;";"Ven 18/12/09;";;
"29;";"TRAITEMENT BIOCIDE;";"1 sm;";"Lun 04/01/10;";"Ven 08/01/10;";;30,31,199DD,50DD
"30;";"DEPOSE DES OUVRAGES METALLIQUES;";"1 sm;";"Lun 11/01/10;";"Ven 15/01/10;";29;
"31;";"PROTECTION DES BAIES;";"1 sm;";"Lun 11/01/10;";"Ven 15/01/10;";29;32DD,33DD,34
"32;";"DEPOSE DES ELEMENTS PARASITES;";"1 sm;";"Lun 11/01/10;";"Ven 15/01/10;";31DD;
"33;";"DEPOSE RUBAN PARATONNERRE ET ANTI PIGEON;";"1 sm;";"Lun 11/01/10;";"Ven 15/01/10;";31DD;
"34;";"GOMMAGE PEIRRE UNI & MOULURES;";"5 sms;";"Lun 18/01/10;";"Ven 19/02/10;";31;35DD+2 sms,36
"35;";"RELEVEE ET CALEPIN;";"6 sms;";"Lun 01/02/10;";"Ven 12/03/10;";34DD+2 sms;"37DD+4 sms,38;77DD+5 jours,92DD+5 jours"
"36;";"REPRISE DES SOLINS;";"2 sms;";"Lun 22/02/10;";"Ven 05/03/10;";34;
"37;";"VALIDATION  CALPIN PARTIE SUPERIEURE;";"2 sms;";"Lun 01/03/10;";"Ven 12/03/10;";35DD+4 sms;39,40
"38;";"VALIDATION  CALPIN PARTIE RESTANT;";"2 sms;";"Lun 15/03/10;";"Ven 26/03/10;";35;
"39;";"COMMANDE DES PIERRES SUPERIEURE;";"3 sms;";"Lun 15/03/10;";"Ven 02/04/10;";37;41
"40;";"DEPOSE ET REFOUILLEMENT;";"4 mois;";"Lun 15/03/10;";"Ven 02/07/10;";37;42DD+3 sms
"41;";"LIVRAISON DES PIERRES;";"1 sm;";"Lun 05/04/10;";"Ven 09/04/10;";39;
"42;";"TAILLE DES PIERRES;";"3,5 mois;";"Lun 05/04/10;";"Ven 09/07/10;";40DD+3 sms;43DD+1 sm
"43;";"POSE PIERRE NEUVE ET REPOSE PIERRE;";"3,5 mois;";"Lun 12/04/10;";"Ven 16/07/10;";42DD+1 sm;44DD+6 sms,164
"44;";"REJOINTEMENT & RAGREAGE;";"3 mois;";"Lun 24/05/10;";"Ven 10/09/10;";43DD+6 sms;45FF+2 sms
"45;";"PATINE HARMONISATION;";"2 mois;";"Lun 05/07/10;";"Ven 24/09/10;";44FF+2 sms;46,234DD
"46;";"REPOSE DES OUVRAGES METALLIQUES;";"1 sm;";"Lun 27/09/10;";"Ven 01/10/10;";45;
"47;";"REPOSE DES PAVES;";"2 sms;";"Lun 24/08/09;";"Ven 04/09/09;";;
"48;";"TRANCHE CONDITIONNELLE;";"254 jours;";"Lun 24/08/09;";"Ven 17/09/10;";;
"49;";"ETUDES EXECUTION;";"4 sms;";"Lun 24/08/09;";"Ven 18/09/09;";;
"50;";"DEPOSE DE PAVAGE EN CONSERVATION;";"5 jours;";"Lun 04/01/10;";"Ven 08/01/10;";29DD;51DD,52DD
"51;";"PROTOCOLE DE  NETTOYAGE;";"2 sms;";"Lun 04/01/10;";"Ven 15/01/10;";50DD;54,55
"52;";"DEPOSE DES OUVRAGES METALLIQUES;";"1 sm;";"Lun 04/01/10;";"Ven 08/01/10;";50DD;53
"53;";"PROTECTION DES BAIES;";"1 sm;";"Lun 11/01/10;";"Ven 15/01/10;";52;56
"54;";"ESSAIS ET VALIDATION PROTOCOLE NETTOYAGE;";"2 sms;";"Lun 18/01/10;";"Ven 29/01/10;";51;58
"55;";"TRAITEMENT BIOCIDE;";"1 sm;";"Lun 18/01/10;";"Ven 22/01/10;";51;
"56;";"DEPOSE DES ELEMENTS PARASITES;";"1 sm;";"Lun 18/01/10;";"Ven 22/01/10;";53;57
"57;";"DEPOSE RUBAN PARATONNERRE ET ANTI PIGEON;";"1 sm;";"Lun 25/01/10;";"Ven 29/01/10;";56;
"58;";"GOMMAGE PEIRRE UNI & MOULURES;";"8 sms;";"Lun 01/02/10;";"Ven 26/03/10;";54;63,59DD+2 sms,60DD+4 sms,64
"59;";"RELEVEE ET CALEPIN;";"6 sms;";"Lun 15/02/10;";"Ven 26/03/10;";58DD+2 sms;84DD+5 jours,103DD+5 jours
"60;";"VALIDATION  CALPIN PARTIE SUPERIEURE;";"2 sms;";"Lun 01/03/10;";"Ven 12/03/10;";58DD+4 sms;61,62
"61;";"COMMANDE DES PIERRES SUPERIEURE;";"3 sms;";"Lun 15/03/10;";"Ven 02/04/10;";60;65
"62;";"DEPOSE ET REFOUILLEMENT;";"4 mois;";"Lun 15/03/10;";"Ven 02/07/10;";60;66DD+3 sms
"63;";"REPRISE DES SOLINS;";"2 sms;";"Lun 29/03/10;";"Ven 09/04/10;";58;
