"Numero","Designation","Duree","Deb+Tot","Fin+Tot","Cal","Cout > 0","Cout < 0","Nb Pred","Pred","Nb Succ","Succ","Crit 1","Crit 2","Crit 3","Crit 4","Crit 5","Crit 6","Crit 7","Crit 8","Des C1","Des C2","Des C3","Des C4","Des C5","Des C6","Des C7","Des C8"
"1","Tache numéro 1","1","02/01/06","02/01/06","1","  120.00","    0.00","0","","3","2,0,0,|10,0,0,|11,0,0,|","PH-01---","","","","","","","","PHASE 1-","","","","","","",""
"2","Tache numéro 2","4","03/01/06","06/01/06","1","  155.00","    0.00","1","","1","3,0,0,|3,0,0,|3,0,0,|","PH-01---","","","","","","","","PHASE 1-","","","","","","",""
"3","Tache numéro 3","5","09/01/06","13/01/06","1","    0.00","  100.00","1","2,0,0,|","3","4,0,0,|13,0,0,|14,0,0,|","PH-01---","","","","","","","","PHASE 1-","","","","","","",""
"4","Tache numéro 4","5","16/01/06","20/01/06","1","   45.00","    0.00","1","3,0,0,|","1","5,0,0,|5,0,0,|","PH-02---","","","","","","","","PHASE 2-","","","","","","",""
"5","Tache numéro 5","5","23/01/06","27/01/06","1","    0.00","  200.00","1","4,0,0,|","2","6,0,0,|6,0,0,|16,0,0,|","PH-02---","","","","","","","","PHASE 2-","","","","","","",""
"6","Tache numéro 6","5","30/01/06","03/02/06","1","  125.00","    0.00","3","5,0,0,|10,0,4,|12,0,0,|","2","7,0,0,|17,0,0,|","PH-03---","","","","","","","","PHASE 3 -","","","","","","",""
"7","Tache numéro 7","5","06/02/06","10/02/06","1","    0.00","    0.00","3","6,0,0,|6,0,0,|6,0,0,|15,0,0,|13,0,0,|","1","8,0,0,|","PH-03---","","","","","","","","PHASE 3 -","","","","","","",""
"8","Tache numéro 8","7","13/02/06","21/02/06","1","    0.00","    0.00","2","7,0,0,|7,0,0,|7,0,0,|16,0,0,|","1","","PH-04---","","","","","","","","PHASE 4-","","","","","","",""
"9","Tache numéro 9","7","22/02/06","02/03/06","1","  200.00","    0.00","2","8,0,0,|8,0,0,|17,0,0,|","0","","PH-04---","","","","","","","","PHASE 4-","","","","","","",""
"10","Tache numéro 10","10","09/01/06","20/01/06","1","    0.00","    0.00","1","","1","6,0,0,|6,0,0,|","","","","","","","","","","","","","","","",""
"11","Tache numéro 11","5","09/01/06","13/01/06","1","    0.00","    0.00","1","","1","12,0,0,|","","","","","","","","","","","","","","","",""
"12","Tache numéro 12","5","16/01/06","20/01/06","1","    0.00","    0.00","1","11,0,4,|","1","6,0,0,|6,0,0,|","","","","","","","","","","","","","","","",""
"13","Tache numéro 13","10","16/01/06","27/01/06","1","    0.00","    0.00","1","3,0,0,|","1","7,0,0,|","","","","","","","","","","","","","","","",""
"14","Tache numéro 14","5","16/01/06","20/01/06","1","    0.00","    0.00","1","3,0,0,|","1","15,0,0,|","","","","","","","","","","","","","","","",""
"15","Tache numéro 15","5","23/01/06","27/01/06","1","    0.00","    0.00","1","14,0,0,|","1","7,0,0,|","","","","","","","","","","","","","","","",""
"16","Tache numéro 16","5","30/01/06","03/02/06","1","    0.00","    0.00","1","5,0,0,|","1","8,0,0,|","","","","","","","","","","","","","","","",""
"17","Tache numéro 17","5","06/02/06","10/02/06","1","    0.00","    0.00","1","6,0,0,|6,0,0,|6,0,0,|","1","","","","","","","","","","","","","","","","",""
